frame,harm_type,expected_harm,discount
138,Dendro Core,-322.4250301817498,1.0
222,Dendro Core,-2446.145653575044,1.0
362,Dendro Core,-2464.5930358992628,1.0
376,Burning,-1710.0894094928067,0.4
391,Burning,-1710.0894094928067,0.4
469,Dendro Core,-2519.93518287192,1.0
529,Dendro Core,-2538.3825651961383,1.0
589,Dendro Core,-2556.8299475203567,1.0
664,Burning,-2337.3770876079016,0.4
709,Dendro Core,-2680.416077873041,1.0
769,Dendro Core,-2680.416077873041,1.0
783,Burning,-2285.8722123236435,0.4
804,Burning,-1678.6796045277376,0.4
889,Dendro Core,-2680.416077873041,1.0
949,Dendro Core,-2680.416077873041,1.0
963,Burning,-2285.8722123236435,0.4
978,Burning,-2285.8722123236435,0.4
979,Dendro Core,-2520.545721587967,1.0
1002,Burning,-2337.3770876079016,0.4
1012,Dendro Core,-2520.545721587967,1.0
1023,Burning,-1678.6796045277376,0.4
1038,Burning,-1678.6796045277376,0.4
1053,Burning,-1678.6796045277376,0.4
1054,Dendro Core,-1751.6656742898135,1.0
1068,Burning,-1678.6796045277376,0.4
1101,Dendro Core,-2520.545721587967,1.0
1113,Burning,-1678.6796045277376,0.4
1134,Burning,-1678.6796045277376,0.4
1149,Burning,-1678.6796045277376,0.4
1161,Dendro Core,-2520.545721587967,1.0
1172,Burning,-2337.3770876079016,0.4
1187,Burning,-2337.3770876079016,0.4
1202,Burning,-2337.3770876079016,0.4
1203,Dendro Core,-1751.6656742898135,1.0
1285,Dendro Core,-2520.545721587967,1.0
1299,Burning,-2132.6631208837803,0.4
1314,Burning,-2132.6631208837803,0.4
1329,Burning,-2132.6631208837803,0.4
1344,Burning,-2337.3770876079016,0.4
1359,Burning,-2337.3770876079016,0.4
1428,Dendro Core,-468.07260421150124,1.0
1494,Dendro Core,-2520.545721587967,1.0
1634,Dendro Core,-2680.416077873041,1.0
1648,Burning,-2285.8722123236435,0.4
1663,Burning,-2285.8722123236435,0.4
1741,Dendro Core,-2680.416077873041,1.0
1801,Dendro Core,-2680.416077873041,1.0
1861,Dendro Core,-2680.416077873041,1.0
1936,Burning,-2337.3770876079016,0.4
1981,Dendro Core,-2680.416077873041,1.0
2041,Dendro Core,-2680.416077873041,1.0
2055,Burning,-2285.8722123236435,0.4
2076,Burning,-1678.6796045277376,0.4
2161,Dendro Core,-2680.416077873041,1.0
2221,Dendro Core,-2680.416077873041,1.0
2235,Burning,-2285.8722123236435,0.4
2250,Burning,-2285.8722123236435,0.4
2251,Dendro Core,-2680.416077873041,1.0
2274,Burning,-2337.3770876079016,0.4
2284,Dendro Core,-2520.545721587967,1.0
2295,Burning,-1678.6796045277376,0.4
2310,Burning,-1678.6796045277376,0.4
2325,Burning,-1678.6796045277376,0.4
2326,Dendro Core,-1751.6656742898135,1.0
2340,Burning,-1678.6796045277376,0.4
2373,Dendro Core,-2520.545721587967,1.0
2385,Burning,-1678.6796045277376,0.4
2406,Burning,-1678.6796045277376,0.4
2421,Burning,-1678.6796045277376,0.4
2433,Dendro Core,-2520.545721587967,1.0
2444,Burning,-2337.3770876079016,0.4
2459,Burning,-2337.3770876079016,0.4
2474,Burning,-2337.3770876079016,0.4
2475,Dendro Core,-1751.6656742898135,1.0
2557,Dendro Core,-2520.545721587967,1.0
2571,Burning,-2132.6631208837803,0.4
2586,Burning,-2132.6631208837803,0.4
2601,Burning,-2132.6631208837803,0.4
2616,Burning,-2337.3770876079016,0.4
2631,Burning,-2337.3770876079016,0.4
2700,Dendro Core,-468.07260421150124,1.0
2766,Dendro Core,-2520.545721587967,1.0
2906,Dendro Core,-2680.416077873041,1.0
2920,Burning,-2285.8722123236435,0.4
2935,Burning,-2285.8722123236435,0.4
3013,Dendro Core,-2680.416077873041,1.0
3073,Dendro Core,-2680.416077873041,1.0
3133,Dendro Core,-2680.416077873041,1.0
3208,Burning,-2337.3770876079016,0.4
3253,Dendro Core,-2680.416077873041,1.0
3313,Dendro Core,-2680.416077873041,1.0
3327,Burning,-2285.8722123236435,0.4
3348,Burning,-1678.6796045277376,0.4
3433,Dendro Core,-2680.416077873041,1.0
3493,Dendro Core,-2680.416077873041,1.0
3507,Burning,-2285.8722123236435,0.4
3522,Burning,-2285.8722123236435,0.4
3523,Dendro Core,-2680.416077873041,1.0
3546,Burning,-2337.3770876079016,0.4
